customer_id,transaction_category,category_spend,category_transactions
100051,dining,12294.18,1
101744,electronics,4197.47,2
100818,entertainment,16077.63,4
101666,electronics,2170.31,1
101532,electronics,23171.18,2
101805,"online shopping",3209.21,1
101968,utilities,3552.27,2
100204,entertainment,10256.98,2
101000,utilities,6546.57,1
100730,"online shopping",25850.21,2
100256,grocery,2192.55,1
100184,dining,18778.22,2
100144,grocery,11179.31,2
101713,fuel,3748.58,1
101037,entertainment,7597.48,2
100245,grocery,8456.87,1
100186,electronics,10343.37,1
101360,electronics,688.15,1
101282,travel,18227.70,3
100865,travel,9932.55,1
100039,groceries,1685.07,1
100600,electronics,3806.51,2
101660,travel,10689.34,3
100961,fuel,3182.76,1
101441,entertainment,7900.83,2
100985,grocery,761.58,1
101374,"online shopping",3919.12,1
100008,travel,9789.95,2
100349,utilities,1165.19,2
100083,entertainment,4769.17,3
100532,entertainment,11208.10,2
100988,groceries,8687.94,1
101816,fuel,846.63,1
100357,entertainment,13375.36,4
100377,groceries,3128.45,1
100171,travel,956.83,1
101048,utilities,6073.65,1
100392,entertainment,10218.07,4
101126,electronics,4217.80,1
100701,fuel,14822.47,3
101259,travel,5920.72,1
101433,entertainment,5916.28,2
101848,grocery,1588.28,1
100548,utilities,1738.48,1
100783,groceries,809.23,1
101828,travel,12221.54,2
100331,entertainment,421.61,1
101687,utilities,2898.41,1
100793,fuel,9023.95,2
101555,"online shopping",3043.80,1
100648,entertainment,1385.50,1
100982,dining,5321.07,1
101894,grocery,4061.68,2
101052,fuel,622.81,1
100542,travel,5036.94,2
101042,utilities,3137.19,1
101171,dining,3763.26,1
101494,utilities,2780.28,1
100490,electronics,1111.14,1
100282,entertainment,3152.78,1
100861,entertainment,12974.14,3
101876,electronics,891.77,1
101835,utilities,10185.28,1
101698,"online shopping",1323.53,1
100112,entertainment,1431.16,1
101478,entertainment,7948.00,1
101685,electronics,538.86,1
101353,utilities,9500.72,2
101278,groceries,17026.18,3
101622,entertainment,2874.98,2
101422,travel,6507.40,2
100861,groceries,5138.53,1
100609,"online shopping",8237.69,2
101932,entertainment,5983.30,3
100507,travel,12285.48,1
101667,groceries,3788.19,2
100465,travel,2873.35,2
100823,electronics,7583.59,1
101430,entertainment,2251.24,2
100608,entertainment,4683.80,3
101121,entertainment,26606.97,3
100289,dining,1747.13,1
100867,entertainment,9896.82,2
101762,electronics,1035.65,1
101680,travel,4241.61,1
101179,electronics,2961.43,2
100781,fuel,630.74,1
100161,"online shopping",511.67,1
100623,groceries,2141.70,1
101866,"online shopping",4342.80,1
101720,electronics,3235.98,1
100716,entertainment,6751.94,1
101120,utilities,8365.13,3
101400,"online shopping",6494.63,1
100566,utilities,132.06,1
101473,grocery,3952.10,3
100993,electronics,779.27,2
101140,groceries,8807.14,1
101628,entertainment,4683.88,2
101828,electronics,4368.75,2
101987,dining,2373.82,1
101739,"online shopping",3025.84,2
101817,electronics,9310.45,2
101529,groceries,6707.36,2
101212,fuel,1975.91,1
101499,dining,11386.63,1
101346,entertainment,12108.65,1
100595,electronics,3762.87,2
101993,utilities,4294.70,1
101203,fuel,1720.82,2
101809,entertainment,18076.15,5
101204,electronics,3545.99,1
100958,dining,3854.01,2
101716,entertainment,19471.08,3
101012,"online shopping",2100.85,2
101818,dining,3498.68,1
101310,entertainment,18639.50,4
100474,travel,550.19,1
100617,grocery,1923.02,2
100640,fuel,8319.76,2
100261,utilities,7178.09,3
101546,dining,5654.25,1
100161,dining,1034.74,1
101510,grocery,14.49,1
101982,entertainment,4907.19,2
100180,fuel,4066.97,1
100724,groceries,4968.12,2
100468,utilities,2065.17,1
100020,travel,3083.97,2
101298,fuel,2011.42,2
100259,dining,6083.10,2
101356,fuel,621.41,1
100465,fuel,4280.63,2
101139,electronics,864.23,1
101436,grocery,1926.99,1
100536,electronics,3399.56,1
100951,entertainment,9179.98,2
101868,entertainment,2792.11,1
100765,fuel,682.33,1
100958,groceries,10609.00,1
101946,travel,330.15,1
101979,"online shopping",1601.16,1
101746,electronics,18381.81,3
101840,entertainment,3227.50,1
101856,entertainment,27613.93,4
100933,fuel,2927.21,2
100850,entertainment,286.28,1
101971,dining,1593.65,1
101280,groceries,2427.46,2
101191,fuel,1102.79,1
101872,"online shopping",5474.28,2
100532,electronics,1537.53,1
101621,utilities,3570.11,1
100014,entertainment,10418.14,1
100049,"online shopping",4258.29,1
100998,"online shopping",15864.75,3
100303,fuel,2431.69,2
101510,utilities,387.06,1
100415,fuel,4457.40,2
100304,utilities,22679.22,3
100195,entertainment,15038.02,4
101899,groceries,9809.72,1
100812,entertainment,15169.71,3
100799,entertainment,5341.31,2
100387,entertainment,6007.65,1
100756,electronics,5345.62,3
101984,dining,675.16,1
101888,groceries,2164.79,1
100454,entertainment,7043.62,3
100712,dining,8054.58,2
100704,dining,2419.44,2
100847,dining,1053.40,2
101681,fuel,346.87,1
101333,dining,417.50,1
101150,fuel,10486.70,1
100174,entertainment,10609.85,1
101157,utilities,24592.61,4
101089,grocery,6734.79,3
101416,fuel,11149.96,3
101987,fuel,17947.08,2
101388,fuel,15557.86,1
100278,groceries,1010.20,2
100757,"online shopping",6709.49,2
100362,"online shopping",1192.14,1
101772,groceries,8553.93,2
100170,groceries,327.11,1
101074,"online shopping",16648.60,4
101351,"online shopping",20920.56,3
101894,dining,13187.04,4
100664,travel,14159.87,2
100591,entertainment,2217.42,2
100930,"online shopping",1990.73,1
101168,groceries,3710.60,1
100273,travel,81.79,1
101178,groceries,4114.58,1
101934,travel,2423.32,2
100507,fuel,717.16,1
101872,electronics,5836.11,2
100362,travel,2714.30,2
101348,utilities,17032.73,2
100847,entertainment,5369.90,1
100654,utilities,7593.75,2
100297,fuel,1090.39,1
100493,grocery,174.24,1
100545,grocery,14477.54,2
100303,utilities,559.97,1
101490,grocery,6213.55,1
100903,travel,1316.13,2
100238,utilities,23057.12,4
101789,fuel,14730.37,2
101540,grocery,69.93,1
100883,groceries,6525.02,3
101199,entertainment,15753.64,3
101908,fuel,12975.35,2
100409,fuel,2028.23,2
100725,"online shopping",165.50,1
101387,utilities,2443.49,1
101046,fuel,5109.55,1
100317,dining,11421.23,1
100524,travel,1089.45,1
100904,electronics,452.88,1
101776,entertainment,25529.43,4
101299,fuel,199.63,1
101023,electronics,5643.84,3
101627,entertainment,14378.02,4
100619,"online shopping",1641.76,2
100952,dining,3497.68,1
101252,grocery,12954.06,2
101687,entertainment,9153.38,2
101131,travel,1544.74,1
100800,dining,6059.37,2
100915,entertainment,5628.76,3
101979,electronics,11914.17,3
101199,"online shopping",17806.54,1
100319,fuel,24032.74,2
101309,entertainment,10577.33,2
100875,entertainment,358.53,1
100328,utilities,10813.93,1
101900,entertainment,6882.54,1
100752,electronics,6445.03,1
100656,electronics,9880.07,3
101379,entertainment,2074.48,1
101037,electronics,3521.18,2
101298,entertainment,13884.47,3
100070,groceries,10040.88,1
100826,grocery,10229.07,3
101218,grocery,7112.78,2
100864,entertainment,4494.23,2
101835,travel,1746.99,1
100927,entertainment,5819.31,3
101902,electronics,1727.69,1
101546,fuel,1293.52,1
100105,entertainment,9718.42,3
100769,dining,13760.40,3
100892,utilities,7396.25,2
100144,utilities,2937.02,1
101755,"online shopping",5306.53,1
101373,utilities,8791.85,1
101447,dining,3541.26,2
100470,grocery,1475.00,1
101709,groceries,200.06,1
100215,electronics,1828.43,1
101116,entertainment,11418.53,3
100259,grocery,2967.59,1
100933,"online shopping",7451.27,3
100574,electronics,2331.86,1
101564,fuel,3357.43,2
101810,grocery,1267.50,2
101882,electronics,95.19,1
100284,grocery,3964.94,1
100483,travel,6460.41,3
101954,fuel,8876.93,1
100371,travel,9205.52,2
100069,dining,1525.53,1
100378,fuel,149.86,1
101302,dining,2279.52,2
101766,dining,7068.81,1
100301,"online shopping",12252.40,1
100254,electronics,3002.13,2
101707,utilities,5254.21,1
100943,utilities,1046.11,1
100691,travel,1669.95,1
101287,entertainment,2776.72,1
101718,utilities,18571.44,2
100833,utilities,819.78,1
100716,fuel,489.42,1
100423,grocery,9421.40,2
101784,travel,6711.80,1
100212,travel,3656.58,1
101694,"online shopping",1494.71,1
101967,dining,13200.26,1
100099,dining,18566.64,1
101852,groceries,5153.76,1
101135,"online shopping",13413.16,4
100307,entertainment,12373.94,3
100677,entertainment,6461.46,2
100474,entertainment,2693.38,3
101571,electronics,4322.83,2
100111,grocery,14610.78,3
101110,"online shopping",19352.52,2
100182,electronics,1714.74,2
100596,dining,2373.24,2
101804,dining,9632.82,2
100164,dining,3603.36,2
100814,dining,1270.03,1
100089,"online shopping",15808.97,3
100454,"online shopping",2521.21,3
100533,entertainment,14710.70,2
101702,entertainment,15633.29,3
100726,grocery,724.83,1
100057,"online shopping",6495.26,1
100541,entertainment,26064.77,5
101937,electronics,1375.61,1
101021,grocery,2286.48,1
100617,dining,10112.49,1
100401,"online shopping",4115.58,1
101005,dining,4233.38,2
100841,entertainment,36312.74,2
101702,utilities,11673.96,2
101885,electronics,5881.76,1
101689,grocery,7852.09,2
100838,"online shopping",4492.16,1
100518,utilities,6861.58,4
100196,fuel,402.62,1
100045,utilities,614.58,1
100529,entertainment,18381.15,3
101420,electronics,2938.40,3
101688,travel,647.00,1
100999,fuel,3734.39,2
100775,fuel,6334.96,1
100073,travel,1655.93,1
101439,groceries,1996.48,2
101680,groceries,3421.34,1
101637,utilities,7676.31,2
100334,grocery,1228.84,1
101870,entertainment,26430.04,4
100632,"online shopping",275.86,1
100687,utilities,1569.83,1
100574,groceries,4091.88,2
100295,groceries,5330.83,1
101107,entertainment,1444.46,1
101038,electronics,7043.50,3
101157,"online shopping",3516.51,2
100477,dining,2552.60,1
100632,groceries,1393.71,1
100318,dining,3879.52,1
101415,grocery,6352.33,1
100478,grocery,584.56,1
101663,entertainment,6460.61,3
100367,groceries,3867.07,1
100366,fuel,5130.71,2
101311,entertainment,10971.76,2
101836,fuel,5399.20,3
100377,grocery,3278.01,2
101715,entertainment,3632.62,1
100462,travel,507.77,1
101617,travel,815.12,1
100012,"online shopping",9186.09,1
100535,travel,8936.34,1
101191,entertainment,7018.81,2
100269,entertainment,5097.66,2
101994,dining,3662.80,1
101093,"online shopping",8219.78,2
101341,entertainment,5022.13,2
100375,dining,8853.35,2
101112,electronics,105.49,1
101724,utilities,12611.60,4
100256,entertainment,11545.42,3
100216,utilities,9771.94,1
100449,entertainment,22867.76,4
100893,dining,10438.29,2
101567,groceries,3078.82,2
101164,"online shopping",1610.02,1
101184,electronics,10605.10,3
100031,dining,4196.60,2
101847,fuel,2091.56,1
101175,groceries,2978.50,1
101882,entertainment,16009.46,2
101283,fuel,1801.05,1
101751,entertainment,10106.21,3
101302,"online shopping",571.31,1
101308,"online shopping",11060.62,2
100609,fuel,2558.51,1
100916,"online shopping",10655.61,3
100541,travel,6156.81,2
101625,utilities,7230.56,1
100147,grocery,1328.64,1
100655,dining,3604.85,2
100066,entertainment,6715.20,2
101968,electronics,1153.12,1
101892,grocery,1766.40,1
100569,travel,3128.63,1
101963,groceries,8408.44,4
101816,groceries,7619.26,1
100747,grocery,170.54,1
100442,grocery,847.41,1
100896,dining,2442.28,1
101888,entertainment,5132.83,4
100398,entertainment,5714.42,2
101151,dining,308.12,1
101360,"online shopping",5704.36,2
100481,utilities,359.68,1
101744,grocery,913.44,1
100947,entertainment,5792.50,2
100185,dining,4209.28,2
100168,groceries,1422.48,1
101707,electronics,1059.68,1
101283,groceries,21009.31,1
101740,dining,5111.57,1
101987,utilities,6041.77,1
101670,utilities,93.51,1
101581,groceries,215.03,1
100506,entertainment,4364.26,1
100520,fuel,3537.99,2
101494,electronics,1940.84,1
100160,"online shopping",1648.48,2
101312,groceries,682.10,1
100339,fuel,2511.84,2
101923,utilities,3157.15,1
101856,"online shopping",6115.46,2
101525,"online shopping",204.83,1
101129,"online shopping",11647.71,2
101825,utilities,5464.90,2
101498,grocery,8002.37,2
101876,entertainment,4858.83,3
101623,entertainment,4983.67,1
101486,fuel,6159.87,2
101506,fuel,18975.26,3
100703,electronics,11900.84,2
101176,grocery,1664.19,1
100822,utilities,20.48,1
101672,travel,5027.79,3
100784,travel,7212.93,1
101172,dining,10623.49,1
101211,travel,2877.54,1
101676,travel,3011.42,3
100130,entertainment,4123.76,2
101475,utilities,943.09,1
100515,utilities,1388.50,2
101514,grocery,7700.00,3
101499,fuel,6436.29,2
101286,entertainment,5584.48,2
101561,"online shopping",8409.86,1
101482,travel,644.69,1
100535,entertainment,5974.17,3
101801,entertainment,9290.88,2
100740,"online shopping",840.07,1
100780,grocery,1916.58,2
101660,"online shopping",185.00,1
101707,entertainment,10085.19,1
101769,entertainment,2609.50,2
101318,"online shopping",232.63,1
101938,utilities,10958.50,3
101458,dining,14179.71,2
101298,groceries,199.05,1
100587,dining,11861.82,2
101331,entertainment,11909.63,3
100725,entertainment,3798.52,2
100942,fuel,8373.01,3
100996,utilities,1163.44,1
100375,groceries,4213.23,1
101181,fuel,1242.25,2
101837,entertainment,745.79,2
100203,grocery,9815.04,2
100988,dining,1987.94,1
100660,travel,678.32,1
100074,fuel,7507.86,2
101403,"online shopping",7546.33,2
100740,dining,1390.45,3
100303,travel,4376.28,1
101085,travel,8565.29,3
100569,grocery,8474.07,3
100785,travel,5427.41,1
101131,entertainment,6875.42,2
101210,entertainment,27921.62,3
100986,entertainment,10492.35,2
100228,electronics,910.10,1
101071,groceries,9352.05,2
101854,grocery,4825.13,2
100267,electronics,4538.12,1
100726,groceries,6593.80,1
100801,entertainment,3052.35,3
100253,grocery,185.09,1
100956,entertainment,10461.44,1
100869,utilities,263.34,1
100086,fuel,3231.83,2
101204,fuel,3176.07,1
101048,dining,8978.51,2
101981,entertainment,7027.15,2
101411,entertainment,3770.43,2
100221,entertainment,14941.36,1
100989,electronics,8687.39,1
100396,utilities,9712.12,4
100937,entertainment,9288.84,2
100510,travel,2669.54,1
100560,dining,1736.38,1
100845,fuel,1516.95,1
100439,entertainment,7778.52,1
101198,utilities,3008.20,1
101927,"online shopping",8456.78,2
100310,electronics,2525.92,1
101297,utilities,1283.66,1
100034,travel,336.86,1
100216,electronics,7758.31,3
100720,fuel,7424.35,1
101695,electronics,8626.65,2
101015,utilities,21278.91,3
101431,grocery,5823.84,2
100268,entertainment,675.70,2
100637,travel,1335.64,1
101903,electronics,239.28,1
101379,groceries,6788.40,1
100089,groceries,3112.45,1
101065,dining,4243.52,2
101388,electronics,8108.32,2
101694,grocery,1060.09,1
101225,travel,7098.65,3
101389,"online shopping",3478.98,3
101817,travel,8153.07,1
100981,electronics,3937.91,2
101867,groceries,11877.10,3
100287,travel,3775.82,1
101626,utilities,2590.89,1
100480,travel,9297.25,1
100636,electronics,596.98,1
100500,utilities,444.54,1
101661,fuel,4510.15,3
100051,travel,6206.41,1
101939,dining,8611.98,2
100102,electronics,957.79,1
101384,entertainment,1935.04,1
101447,entertainment,4368.24,1
100698,dining,1244.93,1
101228,entertainment,6742.09,3
101037,dining,12227.79,3
101963,fuel,8436.96,4
101639,grocery,7471.83,2
101652,groceries,2386.27,2
100469,utilities,5859.14,1
101489,dining,10603.48,2
101327,entertainment,208.44,1
100426,entertainment,18967.74,2
101679,"online shopping",1463.25,2
100109,entertainment,3412.83,2
101698,dining,16608.11,2
101588,electronics,3019.78,2
101953,dining,5527.16,2
100514,electronics,13928.30,2
100067,fuel,1644.79,1
101269,electronics,5587.25,2
100388,grocery,8801.01,1
101673,entertainment,5435.93,2
101948,utilities,29931.11,3
101375,utilities,2872.81,2
101822,"online shopping",9456.94,1
101089,fuel,2796.69,2
100459,grocery,11132.00,3
100346,grocery,1932.45,1
100324,entertainment,13936.59,2
101956,electronics,10454.43,2
100666,"online shopping",1673.51,1
101622,groceries,2736.11,1
101056,electronics,1326.34,1
100067,"online shopping",8192.84,2
100186,grocery,100.60,1
100191,fuel,5395.17,1
101236,utilities,12196.00,1
101623,dining,11251.99,3
100427,electronics,11180.72,3
101374,travel,6150.96,1
101131,electronics,6828.77,1
101263,dining,5539.49,2
100215,grocery,24693.01,4
100176,"online shopping",10643.08,3
101588,fuel,2160.92,2
101353,travel,297.39,1
100560,grocery,208.60,1
100880,groceries,7578.53,2
100625,utilities,9865.72,1
101473,entertainment,5141.84,2
100606,fuel,8704.08,2
101470,utilities,1700.82,1
101560,travel,9408.73,3
101667,electronics,2430.25,2
100178,"online shopping",2553.16,1
100394,entertainment,7231.79,2
101168,dining,2863.05,1
100875,fuel,2421.63,2
100961,travel,8930.20,2
100197,entertainment,2712.60,2
100968,utilities,2298.77,1
101860,"online shopping",13382.00,1
101107,electronics,13628.45,2
100668,electronics,22.07,1
101108,groceries,2659.25,1
100456,"online shopping",4976.86,3
101499,entertainment,1603.89,2
101276,entertainment,3174.38,1
101910,grocery,2329.85,2
100071,groceries,4619.70,1
100222,"online shopping",6456.49,2
100275,travel,9155.31,1
101818,"online shopping",2934.36,1
101799,entertainment,4032.78,1
101269,"online shopping",3326.17,2
101364,entertainment,15826.64,1
100572,"online shopping",15015.86,1
100923,"online shopping",6072.07,2
100470,utilities,4236.09,2
100453,grocery,10210.70,3
101794,dining,1302.18,1
101988,entertainment,6073.00,3
100968,dining,1804.05,1
100006,utilities,6385.53,2
100187,groceries,1249.44,2
100003,entertainment,9139.96,2
101766,grocery,1837.22,1
101668,entertainment,7942.77,2
100906,utilities,9313.36,2
101148,entertainment,2699.73,2
101038,fuel,21198.10,3
100959,grocery,3847.70,1
100524,grocery,797.88,1
100629,utilities,4637.32,1
101263,groceries,13311.20,2
100774,travel,2295.65,1
100359,"online shopping",2309.47,1
100517,electronics,10923.89,2
101975,electronics,23438.53,4
101254,"online shopping",7623.31,1
101969,travel,1982.44,2
101053,fuel,1791.36,1
101557,entertainment,11908.52,3
100920,grocery,7443.91,2
101179,dining,25384.63,3
101653,electronics,5193.72,1
100851,entertainment,5439.60,3
100934,electronics,3205.26,1
101986,utilities,2664.98,1
100900,fuel,2982.89,1
101728,fuel,4477.89,1
100398,dining,17716.71,3
101369,entertainment,2111.45,4
101218,fuel,9677.71,2
100167,grocery,3626.12,1
100376,utilities,10560.32,3
101512,groceries,2107.33,2
101774,entertainment,16499.76,3
101385,grocery,2286.43,1
101505,"online shopping",453.75,1
101267,groceries,3995.61,1
101604,grocery,11854.90,3
100606,"online shopping",1363.61,1
101010,electronics,8478.99,2
100588,electronics,4817.98,2
101194,electronics,3754.25,2
101536,dining,609.63,1
101429,utilities,7608.36,2
101597,entertainment,8054.97,3
101230,dining,2120.86,1
101177,fuel,7611.61,1
101809,fuel,3792.97,2
100047,fuel,4331.31,1
101672,utilities,6783.27,2
101770,dining,18580.38,2
101928,groceries,1230.77,1
101791,dining,13521.55,2
101430,"online shopping",3870.95,2
101130,fuel,1993.26,1
100172,dining,11962.96,2
100505,utilities,1333.92,1
101153,entertainment,14682.65,5
100397,fuel,2803.45,1
100293,entertainment,1761.72,2
100551,"online shopping",13307.50,2
101470,entertainment,7721.93,2
100849,fuel,3743.17,2
101039,groceries,6625.57,2
101662,utilities,1433.84,1
100884,entertainment,27030.48,3
101372,entertainment,2777.81,2
101003,fuel,1323.41,2
101226,dining,3014.46,2
100133,groceries,7248.57,1
100770,utilities,2670.41,1
101549,fuel,4221.11,2
100507,dining,6462.62,1
100479,groceries,1713.48,1
100862,utilities,25881.13,4
100458,"online shopping",1815.30,1
101365,fuel,114.30,1
101730,dining,3683.83,1
100625,travel,1738.09,1
100158,travel,67.89,1
100160,travel,654.34,1
101277,dining,969.10,2
101920,groceries,2501.13,1
100939,groceries,721.89,1
101550,utilities,1569.27,1
101572,electronics,7229.22,2
100154,travel,5770.81,1
100485,entertainment,11817.74,2
100431,electronics,4157.00,1
101050,grocery,2731.67,1
101003,travel,4003.67,2
101035,entertainment,10730.61,1
100066,groceries,7359.31,1
100095,electronics,2212.15,1
100214,"online shopping",7178.09,3
100193,fuel,18419.87,5
101670,entertainment,14183.74,2
101313,travel,2776.00,1
100884,utilities,1202.83,1
100038,travel,11.88,1
101887,dining,221.20,1
100938,electronics,1068.13,1
100938,groceries,4114.68,2
100205,entertainment,6208.12,2
101922,utilities,12695.32,2
100941,fuel,2202.99,2
100554,fuel,7284.33,2
101360,travel,7410.31,2
101519,entertainment,3813.10,2
100770,electronics,687.48,1
100248,entertainment,617.47,1
101097,travel,2994.19,2
100372,"online shopping",2981.37,1
101854,dining,1887.92,1
100878,entertainment,3464.91,2
101831,groceries,4278.40,1
101809,dining,5433.46,2
100834,utilities,8480.18,3
100870,entertainment,6113.67,3
100701,groceries,534.01,1
100137,entertainment,4636.31,2
100947,fuel,263.47,1
100456,dining,979.49,1
100813,dining,13085.96,4
100822,entertainment,6136.44,2
101866,utilities,812.07,1
100443,travel,16854.85,1
100352,entertainment,10097.29,2
100995,electronics,2078.15,2
100410,electronics,12262.36,2
100677,groceries,2484.27,1
101813,entertainment,2732.23,2
101561,grocery,3507.41,1
100452,utilities,6670.86,2
100418,dining,2912.99,1
100449,utilities,18443.92,1
100994,electronics,101.61,1
101608,grocery,8626.72,1
101138,entertainment,10165.70,2
100050,fuel,1878.55,1
101392,dining,9767.83,2
101937,"online shopping",4016.93,2
101706,electronics,7704.98,1
101803,groceries,7491.40,2
101538,entertainment,2413.30,2
100209,entertainment,9360.21,2
100887,travel,690.58,1
100997,dining,531.25,1
101926,dining,4110.66,2
100992,grocery,10312.74,1
101925,entertainment,3107.78,1
100849,"online shopping",7686.85,2
101918,dining,3716.74,1
101877,groceries,4621.48,1
100626,travel,148.77,1
100678,dining,357.75,1
101458,entertainment,5324.69,1
100776,travel,2029.05,1
101250,electronics,1820.60,1
100662,groceries,17009.60,2
100267,dining,16884.18,1
100115,fuel,7008.68,2
101853,electronics,817.60,1
100753,travel,1139.52,2
101383,"online shopping",13813.66,1
101352,fuel,5982.89,2
101868,electronics,4062.19,1
101063,dining,1179.97,1
100181,electronics,7615.20,1
101513,entertainment,159.10,1
101232,"online shopping",1123.57,1
100902,utilities,12228.13,2
101296,entertainment,9005.43,3
101142,entertainment,5227.04,3
101405,electronics,2677.99,1
100945,entertainment,18.46,1
101559,fuel,7243.37,1
100257,grocery,11630.10,2
101506,entertainment,3835.67,3
100508,fuel,6463.22,1
100091,electronics,18885.79,2
101184,"online shopping",3492.96,2
100148,dining,14784.96,3
100116,entertainment,15393.96,2
100457,grocery,215.61,1
100564,travel,1130.18,1
100813,electronics,12447.76,2
100044,fuel,7132.93,2
101800,travel,4535.68,2
100773,entertainment,4309.60,1
101842,electronics,4055.88,1
100233,travel,1466.21,1
101398,electronics,1306.34,1
101570,entertainment,1958.01,1
101873,travel,9829.79,2
101972,grocery,9747.51,1
100196,entertainment,5870.18,2
100024,electronics,10870.75,2
100394,travel,293.47,1
100713,"online shopping",2815.67,2
101808,travel,7078.81,1
101059,entertainment,8079.38,2
101497,fuel,7583.18,3
100222,travel,9353.19,1
100863,utilities,23370.09,3
101812,grocery,1405.66,1
101211,electronics,3971.97,1
101425,electronics,1123.09,1
100256,electronics,9931.52,1
100653,dining,228.01,1
101159,entertainment,8097.13,2
101985,"online shopping",14141.27,2
101842,entertainment,9046.75,4
100590,entertainment,137.17,1
100443,electronics,7718.37,1
100417,entertainment,3766.61,1
101315,fuel,3705.96,2
100573,entertainment,7591.29,2
100128,travel,2694.52,1
101010,utilities,1434.61,1
100340,entertainment,101.55,1
100809,electronics,2803.35,1
101280,entertainment,1628.97,3
100991,dining,5815.81,1
101747,groceries,324.42,1
101589,groceries,1959.68,1
101710,"online shopping",1995.48,1
100099,entertainment,3889.08,2
100038,grocery,141.08,1
101949,fuel,1238.56,2
100262,dining,778.82,1
100149,travel,3198.02,1
101656,entertainment,9684.44,2
100689,travel,544.99,1
101143,groceries,12458.40,1
101607,entertainment,4252.17,1
100218,entertainment,19246.52,3
100905,entertainment,455.42,1
101933,grocery,3342.96,2
101837,grocery,2139.34,1
101146,groceries,1905.80,1
100243,utilities,1663.56,1
100885,entertainment,6299.47,2
100586,electronics,4264.19,2
100517,fuel,136.66,1
101044,entertainment,2957.85,2
