transaction_id,customer_id,transaction_date,transaction_category,transaction_amount
900051,101581,2025-04-30 14:16:23.256753,grocery,12720.54
900052,100972,2025-02-18 14:16:23.256754,Online Shopping,7831.01
900053,100649,2025-11-05 14:16:23.256756,Groceries,3776.52
900054,101489,2025-09-16 14:16:23.256757,ENTERTAINMENT,6907.85
900055,100287,2025-07-27 14:16:23.256758,Electronics,351.54
900056,101888,2025-04-08 14:16:23.256760,Utilities,4574.59
900057,101699,2025-10-01 14:16:23.256761,entertainment,1177.11
900058,100411,2025-03-30 14:16:23.256762,Electronics,2714.0
900059,100399,2025-10-09 14:16:23.256764,Travel,5065.82
900060,100527,2025-07-22 14:16:23.256765,Online Shopping,119.18
900061,101041,2025-03-01 14:16:23.256766,Utilities,4154.2
900062,100135,2025-05-18 14:16:23.256768,Dining,1997.43
900063,101487,2024-12-23 14:16:23.256769,ENTERTAINMENT,2027.32
900064,100758,2025-02-11 14:16:23.256770,Dining,8323.53
900065,101271,2025-07-24 14:16:23.256772,grocery,6874.81
900066,100842,2025-11-23 14:16:23.256773,Fuel,207.39
900067,100709,2025-01-29 14:16:23.256775,ENTERTAINMENT,3371.06
900068,101024,2025-08-31 14:16:23.256779,Dining,2003.5
900069,101725,2025-06-20 14:16:23.256780,Dining,438.74
900070,100380,2025-04-11 14:16:23.256783,grocery,6664.54
900071,100508,2025-05-29 14:16:23.256785,Groceries,259.69
900072,101483,2025-02-17 14:16:23.256787,Fuel,114.18
900073,101528,2025-07-01 14:16:23.256789,Travel,770.15
900074,100805,2025-06-26 14:16:23.256791,Utilities,1265.3
900075,100475,2025-01-05 14:16:23.256793,ENTERTAINMENT,219.84
900076,101580,2025-07-01 14:16:23.256795,Electronics,3588.55
900077,100953,2025-12-16 14:16:23.256798,Dining,2011.6
900078,100848,2025-08-06 14:16:23.256800,Fuel,1859.72
900079,100896,2025-08-13 14:16:23.256802,Utilities,549.68
900080,100031,2025-11-02 14:16:23.256804,Online Shopping,2015.57
900081,101927,2025-06-07 14:16:23.256806,Utilities,1730.99
900082,100117,2024-12-21 14:16:23.256808,entertainment,1693.75
900083,101831,2025-05-23 14:16:23.256811,ENTERTAINMENT,863.19
900084,101207,2025-02-25 14:16:23.256814,grocery,347.2
900085,100190,2025-10-21 14:16:23.256815,Electronics,1057.22
900086,101770,2025-10-01 14:16:23.256817,Electronics,3851.49
900087,101773,2025-05-30 14:16:23.256818,Dining,265.02
900088,101751,2025-03-04 14:16:23.256825,Travel,1686.27
900089,100073,2025-10-17 14:16:23.256826,Utilities,2528.12
900090,100622,2025-03-25 14:16:23.256827,Electronics,11553.32
900091,101126,2025-08-14 14:16:23.256829,Utilities,6498.72
900092,100870,2025-10-30 14:16:23.256830,Fuel,8694.93
900093,100585,2025-09-21 14:16:23.256831,ENTERTAINMENT,6001.82
900094,100419,2025-01-18 14:16:23.256833,ENTERTAINMENT,3113.04
900095,100472,2025-04-01 14:16:23.256834,ENTERTAINMENT,6901.12
900096,101787,2025-06-22 14:16:23.256835,Electronics,2915.42
900097,100113,2025-10-10 14:16:23.256836,grocery,1549.71
900098,101402,2025-10-19 14:16:23.256838,ENTERTAINMENT,1630.16
900099,101336,2025-02-19 14:16:23.256839,Groceries,2917.15
900100,100329,2025-04-13 14:16:23.256840,Fuel,5802.25
900101,100338,2025-07-02 14:16:23.256841,grocery,502.14
900102,100237,2025-03-24 14:16:23.256843,Electronics,140.2
900103,101196,2024-12-19 14:16:23.256844,Electronics,5455.08
900104,100078,2025-08-28 14:16:23.256846,Online Shopping,3650.38
900105,100463,2025-09-09 14:16:23.256847,entertainment,6027.37
900106,101921,2025-05-17 14:16:23.256848,Groceries,13154.03
900107,100604,2025-08-27 14:16:23.256849,grocery,1013.4
900108,101987,2025-09-12 14:16:23.256850,ENTERTAINMENT,756.12
900109,101524,2025-02-14 14:16:23.256852,Dining,1459.5
900110,100561,2025-08-22 14:16:23.256853,entertainment,7361.99
900111,100284,2025-11-12 14:16:23.256854,Electronics,49.22
900112,100222,2025-01-15 14:16:23.256856,Groceries,37.06
900113,100592,2024-12-24 14:16:23.256857,ENTERTAINMENT,855.22
900114,101289,2025-03-03 14:16:23.256858,entertainment,1650.15
900115,101690,2025-02-17 14:16:23.256860,Electronics,1260.11
900116,100372,2024-12-23 14:16:23.256861,Dining,6098.75
900117,101256,2025-01-05 14:16:23.256862,entertainment,4096.01
900118,100910,2025-08-16 14:16:23.256863,ENTERTAINMENT,6366.96
900119,100827,2025-11-08 14:16:23.256864,Utilities,1694.42
900120,100235,2025-07-30 14:16:23.256866,Dining,3170.55
900121,100670,2025-11-22 14:16:23.256867,Utilities,2535.91
900122,101940,2025-07-29 14:16:23.256868,Online Shopping,2253.43
900123,100827,2024-12-31 14:16:23.256869,Travel,1189.38
900124,100762,2025-01-16 14:16:23.256871,grocery,4323.17
900125,101337,2025-10-22 14:16:23.256872,Travel,2598.4
900126,101960,2025-07-21 14:16:23.256873,Groceries,286.52
900127,101965,2025-05-27 14:16:23.256875,Electronics,1.83
900128,101836,2025-10-03 14:16:23.256876,entertainment,71.85
900129,100379,2025-03-08 14:16:23.256878,Online Shopping,276.46
900130,100793,2025-05-22 14:16:23.256879,entertainment,1622.43
900131,100613,2025-04-04 14:16:23.256880,Utilities,1276.81
900132,100562,2025-04-03 14:16:23.256882,Fuel,596.27
900133,100419,2025-06-17 14:16:23.256883,entertainment,2535.87
900134,100051,2025-01-24 14:16:23.256884,Dining,12294.18
900135,101744,2025-12-07 14:16:23.256886,Electronics,613.14
900136,100818,2025-07-11 14:16:23.256887,entertainment,1009.65
900137,101666,2025-04-02 14:16:23.256888,Electronics,2170.31
900138,101532,2025-09-21 14:16:23.256889,Electronics,3583.96
900139,101805,2025-06-17 14:16:23.256891,Online Shopping,3209.21
900140,101968,2025-12-02 14:16:23.256892,Utilities,2577.65
900141,100204,2025-04-18 14:16:23.256893,ENTERTAINMENT,4678.18
900142,101000,2025-09-23 14:16:23.256894,Utilities,6546.57
900143,100730,2025-06-02 14:16:23.256895,Online Shopping,24063.19
900144,100256,2025-12-08 14:16:23.256897,grocery,2192.55
900145,100184,2025-07-07 14:16:23.256898,Dining,18513.88
900146,100144,2025-11-24 14:16:23.256899,grocery,4589.15
900147,101713,2025-10-15 14:16:23.256900,Fuel,3748.58
900148,101037,2025-02-09 14:16:23.256902,ENTERTAINMENT,3572.7
900149,100245,2025-04-24 14:16:23.256903,grocery,8456.87
900150,100186,2025-01-07 14:16:23.256905,Electronics,10343.37
900151,101360,2025-04-24 14:16:23.256906,Electronics,688.15
900152,101282,2025-11-26 14:16:23.256909,Travel,2380.28
900153,100865,2025-06-21 14:16:23.256911,Travel,9932.55
900154,100039,2025-02-15 14:16:23.256912,Groceries,1685.07
900155,100600,2025-11-01 14:16:23.256913,Electronics,926.96
900156,101660,2025-03-14 14:16:23.256914,Travel,379.09
900157,100961,2025-05-08 14:16:23.256916,Fuel,3182.76
900158,101441,2025-05-14 14:16:23.256917,ENTERTAINMENT,4217.09
900159,100985,2025-04-25 14:16:23.256918,grocery,761.58
900160,101374,2025-05-28 14:16:23.256919,Online Shopping,3919.12
900161,100008,2025-01-13 14:16:23.256920,Travel,8045.74
900162,100349,2025-11-29 14:16:23.256922,Utilities,977.05
900163,100083,2025-06-21 14:16:23.256923,ENTERTAINMENT,455.38
900164,100532,2025-07-09 14:16:23.256924,ENTERTAINMENT,6315.34
900165,100988,2025-03-08 14:16:23.256925,Groceries,8687.94
900166,101816,2025-10-18 14:16:23.256926,Fuel,846.63
900167,100357,2025-09-24 14:16:23.256927,entertainment,4472.68
900168,100377,2025-11-13 14:16:23.256929,Groceries,3128.45
900169,100171,2025-12-13 14:16:23.256930,Travel,956.83
900170,101048,2025-10-03 14:16:23.256931,Utilities,6073.65
900171,100392,2025-04-09 14:16:23.256932,entertainment,2224.96
900172,101126,2025-12-11 14:16:23.256933,Electronics,4217.8
900173,100701,2025-07-02 14:16:23.256935,Fuel,1255.48
900174,101259,2025-08-10 14:16:23.256937,Travel,5920.72
900175,101433,2025-08-02 14:16:23.256938,ENTERTAINMENT,1074.2
900176,101848,2024-12-25 14:16:23.256939,grocery,1588.28
900177,100548,2025-02-21 14:16:23.256940,Utilities,1738.48
900178,100783,2025-01-26 14:16:23.256942,Groceries,809.23
900179,101828,2025-09-18 14:16:23.256943,Travel,7260.43
900180,100331,2025-07-08 14:16:23.256944,ENTERTAINMENT,421.61
900181,101687,2025-02-03 14:16:23.256945,Utilities,2898.41
900182,100793,2025-04-09 14:16:23.256947,Fuel,5889.87
900183,101555,2025-05-31 14:16:23.256948,Online Shopping,3043.8
900184,100648,2025-11-28 14:16:23.256949,ENTERTAINMENT,1385.5
900185,100982,2025-05-03 14:16:23.256950,Dining,5321.07
900186,101894,2025-07-08 14:16:23.256952,grocery,2420.26
900187,101052,2025-07-06 14:16:23.256953,Fuel,622.81
900188,100542,2025-04-30 14:16:23.256954,Travel,1333.71
900189,101042,2025-01-24 14:16:23.256955,Utilities,3137.19
900190,101171,2025-04-24 14:16:23.256956,Dining,3763.26
900191,101494,2025-08-20 14:16:23.256958,Utilities,2780.28
900192,100490,2025-01-01 14:16:23.256962,Electronics,1111.14
900193,100282,2025-09-02 14:16:23.256964,entertainment,3152.78
900194,100861,2025-04-12 14:16:23.256966,entertainment,1414.5
900195,101876,2025-01-16 14:16:23.256968,Electronics,891.77
900196,101835,2025-03-09 14:16:23.256971,Utilities,10185.28
900197,101698,2025-06-03 14:16:23.256973,Online Shopping,1323.53
900198,100112,2025-05-12 14:16:23.256974,entertainment,1431.16
900199,101478,2025-07-20 14:16:23.256976,ENTERTAINMENT,7948.0
900200,101685,2025-03-07 14:16:23.256978,Electronics,538.86
900201,101353,2025-03-28 14:16:23.256982,Utilities,3074.75
900202,101278,2025-05-12 14:16:23.256984,Groceries,5358.98
900203,101622,2025-05-16 14:16:23.256987,entertainment,1119.11
900204,101422,2025-02-06 14:16:23.256989,Travel,6504.47
900205,100861,2025-07-15 14:16:23.256990,Groceries,5138.53
900206,100609,2025-05-16 14:16:23.256992,Online Shopping,2330.0
900207,101932,2025-01-17 14:16:23.256995,entertainment,442.31
900208,100507,2024-12-24 14:16:23.256997,Travel,12285.48
900209,101667,2025-08-26 14:16:23.256999,Groceries,3425.73
900210,100465,2025-07-10 14:16:23.257001,Travel,2547.8
900211,100823,2025-02-18 14:16:23.257002,Electronics,7583.59
900212,101430,2025-09-11 14:16:23.257004,entertainment,1914.74
900213,100608,2025-07-14 14:16:23.257006,ENTERTAINMENT,2902.52
900214,101121,2025-07-09 14:16:23.257008,ENTERTAINMENT,6841.94
900215,100289,2025-11-06 14:16:23.257010,Dining,1747.13
900216,100867,2025-06-21 14:16:23.257012,entertainment,5180.45
900217,101762,2025-02-18 14:16:23.257014,Electronics,1035.65
900218,101680,2025-01-22 14:16:23.257016,Travel,4241.61
900219,101179,2025-10-28 14:16:23.257018,Electronics,2499.83
900220,100781,2025-04-10 14:16:23.257020,Fuel,630.74
900221,100161,2025-01-02 14:16:23.257022,Online Shopping,511.67
900222,100623,2025-08-20 14:16:23.257024,Groceries,2141.7
900223,101866,2025-10-04 14:16:23.257026,Online Shopping,4342.8
900224,101720,2025-07-09 14:16:23.257028,Electronics,3235.98
900225,100716,2025-07-22 14:16:23.257030,ENTERTAINMENT,6751.94
900226,101120,2025-08-17 14:16:23.257032,Utilities,1728.1
900227,101400,2025-07-30 14:16:23.257035,Online Shopping,6494.63
900228,100566,2025-06-19 14:16:23.257037,Utilities,132.06
900229,101473,2025-03-16 14:16:23.257039,grocery,1593.89
900230,100993,2025-04-05 14:16:23.257041,Electronics,265.24
900231,101140,2025-01-27 14:16:23.257043,Groceries,8807.14
900232,101628,2025-04-17 14:16:23.257045,ENTERTAINMENT,2257.33
900233,101828,2025-09-23 14:16:23.257048,Electronics,1330.09
900234,101987,2025-10-08 14:16:23.257051,Dining,2373.82
900235,101739,2025-03-24 14:16:23.257052,Online Shopping,2663.84
900236,101817,2025-06-21 14:16:23.257054,Electronics,6553.1
900237,101529,2025-03-14 14:16:23.257055,Groceries,2736.37
900238,101212,2025-07-22 14:16:23.257056,Fuel,1975.91
900239,101499,2025-12-12 14:16:23.257057,Dining,11386.63
900240,101346,2025-07-23 14:16:23.257058,entertainment,12108.65
900241,100595,2025-01-20 14:16:23.257059,Electronics,137.11
900242,101993,2025-07-03 14:16:23.257061,Utilities,4294.7
900243,101203,2025-12-09 14:16:23.257062,Fuel,1626.9
900244,101809,2025-06-23 14:16:23.257063,entertainment,3935.91
900245,101204,2025-03-09 14:16:23.257064,Electronics,3545.99
900246,100958,2025-08-24 14:16:23.257065,Dining,1402.22
900247,101716,2025-09-13 14:16:23.257067,ENTERTAINMENT,15109.12
900248,101012,2025-01-21 14:16:23.257068,Online Shopping,1546.23
900249,101818,2025-01-08 14:16:23.257073,Dining,3498.68
900250,101310,2025-10-23 14:16:23.257075,entertainment,5875.5
900251,100474,2025-05-25 14:16:23.257077,Travel,550.19
900252,100617,2025-09-04 14:16:23.257079,grocery,1251.21
900253,100640,2025-11-13 14:16:23.257081,Fuel,776.51
900254,100261,2025-05-23 14:16:23.257083,Utilities,5328.56
900255,101546,2025-03-12 14:16:23.257085,Dining,5654.25
900256,100161,2024-12-28 14:16:23.257087,Dining,1034.74
900257,101510,2025-07-24 14:16:23.257089,grocery,14.49
900258,101982,2025-03-06 14:16:23.257091,ENTERTAINMENT,1926.82
900259,100180,2025-09-28 14:16:23.257093,Fuel,4066.97
900260,100724,2025-10-29 14:16:23.257095,Groceries,3409.67
900261,100468,2025-09-22 14:16:23.257097,Utilities,2065.17
900262,101809,2025-06-10 14:16:23.257099,entertainment,1258.08
900263,100020,2025-02-18 14:16:23.257102,Travel,2251.17
900264,101298,2025-12-17 14:16:23.257104,Fuel,53.26
900265,100259,2025-08-02 14:16:23.257106,Dining,268.59
900266,101356,2025-08-04 14:16:23.257110,Fuel,621.41
900267,100465,2024-12-21 14:16:23.257111,Fuel,3436.69
900268,101139,2025-07-17 14:16:23.257112,Electronics,864.23
900269,101436,2025-07-09 14:16:23.257113,grocery,1926.99
900270,100536,2025-11-29 14:16:23.257115,Electronics,3399.56
900271,100951,2025-01-24 14:16:23.257116,entertainment,6213.74
900272,101868,2025-04-19 14:16:23.257117,ENTERTAINMENT,2792.11
900273,100765,2025-08-11 14:16:23.257119,Fuel,682.33
900274,100958,2025-06-25 14:16:23.257120,Groceries,10609.0
900275,101946,2025-03-13 14:16:23.257121,Travel,330.15
900276,101979,2025-09-25 14:16:23.257122,Online Shopping,1601.16
900277,101746,2025-05-10 14:16:23.257124,Electronics,8898.46
900278,101840,2025-01-27 14:16:23.257125,entertainment,3227.5
900279,101856,2025-07-26 14:16:23.257126,entertainment,3803.24
900280,100933,2025-09-03 14:16:23.257128,Fuel,1256.84
900281,100850,2025-01-27 14:16:23.257129,ENTERTAINMENT,286.28
900282,101971,2025-12-07 14:16:23.257130,Dining,1593.65
900283,101280,2025-07-05 14:16:23.257132,Groceries,1800.5
900284,101191,2025-06-05 14:16:23.257133,Fuel,1102.79
900285,101872,2025-05-01 14:16:23.257134,Online Shopping,849.42
900286,100532,2025-07-24 14:16:23.257135,Electronics,1537.53
900287,101621,2024-12-24 14:16:23.257136,Utilities,3570.11
900288,100014,2025-04-24 14:16:23.257138,ENTERTAINMENT,10418.14
900289,100049,2025-12-05 14:16:23.257139,Online Shopping,4258.29
900290,100998,2025-05-13 14:16:23.257140,Online Shopping,5293.14
900291,100303,2025-04-05 14:16:23.257141,Fuel,1278.83
900292,101510,2025-12-16 14:16:23.257143,Utilities,387.06
900293,100415,2025-05-22 14:16:23.257144,Fuel,1206.19
900294,100304,2025-05-07 14:16:23.257145,Utilities,1803.41
900295,100195,2025-06-07 14:16:23.257146,entertainment,4097.8
900296,101899,2025-06-05 14:16:23.257147,Groceries,9809.72
900297,100812,2025-04-02 14:16:23.257149,ENTERTAINMENT,5799.55
900298,100799,2025-10-22 14:16:23.257150,entertainment,1084.27
900299,100387,2025-08-27 14:16:23.257151,ENTERTAINMENT,6007.65
900300,100756,2025-05-19 14:16:23.257152,Electronics,1857.09
900301,101984,2025-03-14 14:16:23.257154,Dining,675.16
900302,101888,2025-04-18 14:16:23.257155,Groceries,2164.79
900303,100454,2025-08-23 14:16:23.257156,ENTERTAINMENT,2899.14
900304,100712,2025-09-22 14:16:23.257158,Dining,5044.92
900305,100704,2025-03-30 14:16:23.257159,Dining,1507.18
900306,100847,2025-02-21 14:16:23.257160,Dining,555.58
900307,101681,2025-08-27 14:16:23.257161,Fuel,346.87
900308,101333,2025-07-07 14:16:23.257163,Dining,417.5
900309,101150,2025-12-14 14:16:23.257165,Fuel,10486.7
900310,100174,2025-08-22 14:16:23.257166,entertainment,10609.85
900311,101157,2025-11-25 14:16:23.257167,Utilities,12130.8
900312,101089,2025-04-29 14:16:23.257168,grocery,1260.83
900313,101416,2025-09-19 14:16:23.257170,Fuel,744.51
900314,101987,2025-04-07 14:16:23.257171,Fuel,13855.89
900315,101388,2025-09-17 14:16:23.257172,Fuel,15557.86
900316,100278,2025-07-16 14:16:23.257173,Groceries,285.57
900317,100757,2025-02-14 14:16:23.257174,Online Shopping,4887.6
900318,100362,2025-08-25 14:16:23.257176,Online Shopping,1192.14
900319,101772,2025-05-25 14:16:23.257177,Groceries,8400.64
900320,100170,2025-09-28 14:16:23.257178,Groceries,327.11
900321,101074,2025-09-06 14:16:23.257179,Online Shopping,7680.5
900322,101351,2025-09-29 14:16:23.257180,Online Shopping,9.19
900323,101894,2025-09-06 14:16:23.257182,Dining,2583.34
900324,100664,2025-04-22 14:16:23.257183,Travel,1430.86
900325,100591,2025-03-28 14:16:23.257184,ENTERTAINMENT,1951.08
900326,100930,2025-11-15 14:16:23.257185,Online Shopping,1990.73
900327,101168,2025-11-13 14:16:23.257186,Groceries,3710.6
900328,100273,2025-04-13 14:16:23.257187,Travel,81.79
900329,101178,2025-10-29 14:16:23.257188,Groceries,4114.58
900330,101934,2025-03-13 14:16:23.257190,Travel,78.57
900331,100507,2025-04-20 14:16:23.257191,Fuel,717.16
900332,101872,2025-07-19 14:16:23.257192,Electronics,3266.51
900333,100362,2025-07-24 14:16:23.257193,Travel,316.41
900334,101348,2025-11-09 14:16:23.257194,Utilities,16449.59
900335,100847,2025-06-12 14:16:23.257195,entertainment,5369.9
900336,100654,2025-11-23 14:16:23.257196,Utilities,4280.64
900337,100297,2025-04-18 14:16:23.257197,Fuel,1090.39
900338,100493,2025-05-09 14:16:23.257201,grocery,174.24
900339,100545,2025-05-02 14:16:23.257203,grocery,13485.0
900340,100303,2025-07-18 14:16:23.257205,Utilities,559.97
900341,101490,2025-03-05 14:16:23.257206,grocery,6213.55
900342,100903,2025-09-01 14:16:23.257208,Travel,770.16
900343,100238,2025-11-15 14:16:23.257210,Utilities,1639.95
900344,100649,2024-12-20 14:16:23.257212,Groceries,4139.9
900345,101789,2025-08-29 14:16:23.257214,Fuel,10174.78
900346,101540,2025-08-19 14:16:23.257216,grocery,69.93
900347,100883,2025-12-02 14:16:23.257218,Groceries,1057.5
900348,101199,2025-05-05 14:16:23.257220,ENTERTAINMENT,5068.08
900349,101908,2025-12-07 14:16:23.257224,Fuel,666.49
900350,100409,2025-05-29 14:16:23.257226,Fuel,413.6
900351,100725,2025-05-30 14:16:23.257227,Online Shopping,165.5
900352,101387,2025-09-11 14:16:23.257229,Utilities,2443.49
900353,101046,2025-08-24 14:16:23.257231,Fuel,5109.55
900354,100317,2025-03-12 14:16:23.257232,Dining,11421.23
900355,100524,2025-01-03 14:16:23.257233,Travel,1089.45
900356,100904,2025-04-30 14:16:23.257234,Electronics,452.88
900357,101776,2025-08-29 14:16:23.257235,ENTERTAINMENT,1802.82
900358,101299,2024-12-31 14:16:23.257236,Fuel,199.63
900359,101023,2025-12-06 14:16:23.257237,Electronics,1408.78
900360,101627,2025-11-27 14:16:23.257238,entertainment,3605.85
900361,100619,2025-08-13 14:16:23.257240,Online Shopping,644.43
900362,100952,2025-03-08 14:16:23.257241,Dining,3497.68
900363,101252,2025-08-19 14:16:23.257242,grocery,12508.06
900364,101687,2025-08-16 14:16:23.257243,entertainment,6988.0
900365,101131,2025-11-15 14:16:23.257244,Travel,1544.74
900366,100800,2025-07-01 14:16:23.257245,Dining,1915.59
900367,100915,2025-10-02 14:16:23.257246,ENTERTAINMENT,1902.45
900368,101979,2025-02-24 14:16:23.257247,Electronics,6878.92
900369,101199,2025-01-22 14:16:23.257248,Online Shopping,17806.54
900370,100319,2025-10-16 14:16:23.257250,Fuel,6118.35
900371,101309,2025-03-23 14:16:23.257251,ENTERTAINMENT,2858.49
900372,100875,2025-05-16 14:16:23.257252,entertainment,358.53
900373,100328,2025-06-11 14:16:23.257253,Utilities,10813.93
900374,101900,2025-10-04 14:16:23.257254,ENTERTAINMENT,6882.54
900375,100752,2025-06-27 14:16:23.257255,Electronics,6445.03
900376,100656,2025-10-12 14:16:23.257259,Electronics,1740.48
900377,101379,2025-09-16 14:16:23.257261,ENTERTAINMENT,2074.48
900378,101037,2025-10-26 14:16:23.257263,Electronics,446.07
900379,101298,2025-09-15 14:16:23.257265,ENTERTAINMENT,9725.01
900380,100070,2025-08-27 14:16:23.257267,Groceries,10040.88
900381,100826,2025-05-03 14:16:23.257269,grocery,1027.67
900382,101218,2025-04-12 14:16:23.257271,grocery,4167.64
900383,100864,2025-05-23 14:16:23.257273,entertainment,796.3
900384,101835,2025-06-19 14:16:23.257275,Travel,1746.99
900385,100927,2025-03-26 14:16:23.257276,entertainment,1260.29
900386,101902,2025-03-12 14:16:23.257279,Electronics,1727.69
900387,101546,2025-07-16 14:16:23.257281,Fuel,1293.52
900388,100105,2025-09-26 14:16:23.257283,ENTERTAINMENT,1482.48
900389,100769,2025-06-15 14:16:23.257285,Dining,5479.98
900390,100892,2025-01-03 14:16:23.257286,Utilities,1248.5
900391,100195,2025-08-01 14:16:23.257289,entertainment,5900.14
900392,100144,2025-10-24 14:16:23.257291,Utilities,2937.02
900393,101755,2025-11-29 14:16:23.257294,Online Shopping,5306.53
900394,101373,2025-01-04 14:16:23.257295,Utilities,8791.85
900395,101447,2025-01-06 14:16:23.257296,Dining,521.48
900396,100470,2025-03-26 14:16:23.257298,grocery,1475.0
900397,101709,2025-07-29 14:16:23.257299,Groceries,200.06
900398,100215,2025-02-05 14:16:23.257300,Electronics,1828.43
900399,101116,2025-07-07 14:16:23.257301,entertainment,948.59
900400,100259,2025-04-10 14:16:23.257302,grocery,2967.59
900401,100933,2025-04-30 14:16:23.257305,Online Shopping,5353.8
900402,100574,2025-02-24 14:16:23.257306,Electronics,2331.86
900403,101564,2024-12-20 14:16:23.257307,Fuel,1420.65
900404,101810,2025-10-19 14:16:23.257309,grocery,579.36
900405,101882,2025-11-26 14:16:23.257310,Electronics,95.19
900406,100284,2025-08-14 14:16:23.257311,grocery,3964.94
900407,100483,2025-09-06 14:16:23.257312,Travel,108.58
900408,101954,2025-05-11 14:16:23.257313,Fuel,8876.93
900409,100371,2025-08-30 14:16:23.257314,Travel,3156.89
900410,100069,2025-10-21 14:16:23.257315,Dining,1525.53
900411,100378,2025-10-14 14:16:23.257316,Fuel,149.86
900412,101302,2025-10-21 14:16:23.257317,Dining,1867.46
900413,101766,2025-07-13 14:16:23.257318,Dining,7068.81
900414,100301,2025-10-03 14:16:23.257319,Online Shopping,12252.4
900415,100254,2025-11-29 14:16:23.257320,Electronics,310.64
900416,101707,2025-06-11 14:16:23.257321,Utilities,5254.21
900417,100943,2025-04-12 14:16:23.257323,Utilities,1046.11
900418,100691,2024-12-23 14:16:23.257324,Travel,1669.95
900419,101287,2024-12-20 14:16:23.257325,ENTERTAINMENT,2776.72
900420,101718,2025-09-30 14:16:23.257326,Utilities,18359.22
900421,100833,2025-09-25 14:16:23.257327,Utilities,819.78
900422,100716,2025-06-29 14:16:23.257328,Fuel,489.42
900423,100423,2025-05-20 14:16:23.257329,grocery,3163.34
900424,101784,2025-07-22 14:16:23.257330,Travel,6711.8
900425,100212,2025-12-08 14:16:23.257331,Travel,3656.58
900426,101694,2025-11-18 14:16:23.257332,Online Shopping,1494.71
900427,101967,2025-03-13 14:16:23.257348,Dining,13200.26
900428,100099,2025-10-24 14:16:23.257349,Dining,18566.64
900429,101852,2024-12-23 14:16:23.257350,Groceries,5153.76
